Sample Ida,[9Bereac] (atoms g-1)b,[9Bemin] (atoms g-1)b,10Bei LLNL #,Quartz mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bei/9Becarrier ratio , Blank-corrected AMS 10Bei/9Becarrier ratio ± 1σ,[10Bei] (atoms g-1),[10Bei] (atoms g-1) ± 1σ ,10Bei prod. Rate (atoms g-1 yr-1)c,10Bem LLNL #,Sample mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bemet/9Becarrier ratio ,Blank-corrected AMS 10Bemet/9Becarrier ratio  ± 1σ,[10Bem] (atoms g-1),[10Bem] (atoms g-1)d ± 1σ,10Bem deposition rate (atoms cm-2 yr-1 x106)e,
POT49,5.42E+16,7.09431E+16,BE29110,21.63,248.5,6.59191E-13,1.25534E-14,506127.365,9638.53272,7.06,BE29404,0.539,298.4,1.16124E-11,1.29042E-13,430000000,4800000,1.91,
POT50,6.39E+16,1.13633E+17,BE29111,21.64,249.1,6.44068E-13,1.41912E-14,495496.4323,10917.59958,10.6,BE27107,0.506,300.4,7.28332E-12,1.19627E-13,289000000,4700000,2.48,
POT51,7.04E+16,2.33634E+16,BE29112,21.41,249,4.87636E-13,9.37263E-15,379064.4581,7285.827576,8.5,BE29405,0.594,299.4,3.98198E-12,3.4549E-14,134000000,1200000,2.48,
POT52,7.97E+16,4.28408E+16,BE29113,21.89,249.2,7.53874E-13,1.24726E-14,573542.5879,9489.046628,8.31,BE29406,0.551,301.4,1.70737E-11,2.6212E-13,624000000,9600000,2.33,
POT53,1.66E+17,,BE29114,14.51,249.6,4.97534E-13,8.32714E-15,572099.3474,9575.128041,7.55,BE29407,0.509,300.4,1.79378E-11,1.95538E-13,708000000,7700000,2.09,
POT54,9.25E+16,,,,,,,,,,BE29408,0.539,297.4,9.26107E-12,7.15943E-14,342000000,2600000,1.75,
POT55,5.07E+16,3.47823E+16,BE29115,8.93,250.9,2.6787E-13,6.38941E-15,502974.3414,11997.28585,8.07,BE29409,0.506,300.4,1.04547E-11,8.06895E-14,415000000,3200000,2.24,
POT56,5.95E+16,,,,,,,,,,BE29410,0.555,299.4,7.09787E-12,5.48772E-14,256000000,2000000,2.15,
POT57,7.79E+16,,,,,,,,,,BE29411,0.518,290.5,9.34389E-12,1.11295E-13,350000000,4200000,2.1,
POT58,1.82E+17,3.92256E+16,BE29116,21.65,248.7,3.98377E-13,9.33962E-15,305820.7511,7169.711794,7.45,BE27108,0.544,299.4,8.91805E-12,8.17519E-14,328000000,3000000,2,
POT59,6.64E+16,,,,,,,,,,BE29412,0.523,299.4,1.11986E-11,1.85647E-13,428000000,7100000,2.04,
POT60,4.48E+16,,,,,,,,,,BE29413,0.545,300.4,8.25607E-12,6.38383E-14,304000000,2400000,2.07,
POT61,2.42E+16,3.60213E+16,BE29117,21.67,249.1,8.26615E-13,1.36865E-14,635199.8432,10517.20642,6.84,BE29414,0.533,299.4,9.50964E-12,1.20791E-13,357000000,4500000,1.93,
POT62,6.72E+16,2.13036E+17,BE29118,9.81,248.3,1.81537E-13,4.47199E-15,307098.6671,7565.068499,5.57,BE29416,0.539,298.4,1.05559E-11,1.42904E-13,391000000,5300000,1.81,
POT63,3.76E+16,3.48152E+16,BE29119,21.7,248,8.98556E-13,1.47947E-14,686357.1887,11300.8482,5.88,BE27109,0.518,300.4,5.44828E-12,9.14223E-14,211000000,3500000,1.82,
POT64,3.57E+16,3.62055E+16,BE29120,20.06,249.3,4.21715E-13,9.85896E-15,350282.6079,8188.996394,5.46,BE29417,0.511,301.4,7.53093E-12,5.0281E-14,297000000,2000000,1.83,
POT65,2.94E+16,3.36837E+16,BE29122,20.15,248.7,4.3911E-13,1.12953E-14,362191.8157,9316.690865,5.95,BE29418,0.508,299.4,5.81801E-12,3.16083E-14,229000000,1200000,1.88,
POT66,9.51E+16,,,,,,,,,,BE29419,0.53,299.4,1.8917E-11,1.02624E-13,714000000,3900000,1.9,
POT67,1.87E+16,0,BE29123,22.16,248,6.41912E-13,1.07373E-14,480149.6554,8031.500645,6.02,BE29420,0.519,300.4,2.703E-12,1.819E-14,105000000,700000,2.02,
POT68,1.02E+17,1.25321E+17,BE29124,21.59,249,3.81788E-13,8.98425E-15,294316.9744,6925.884626,4.71,BE29421,0.523,299.4,2.03571E-11,1.25868E-13,779000000,4800000,1.99,
POT69,3.02E+16,3.39307E+16,BE29125,21.99,249.1,5.4276E-13,1.03214E-14,410871.1865,7813.364876,5,BE29422,0.533,300.4,6.26663E-12,4.28022E-14,236000000,1600000,2.01,
POT70,9.96E+16,,,,,,,,,,BE29423,0.51,306.3,1.33214E-11,1.45184E-13,535000000,5800000,1.93,
POT71,4.23E+15,5.31498E+15,BE29126,21.99,248.6,4.60835E-13,8.7908E-15,348264.5689,6643.424128,6.64,BE29424,0.516,300.4,1.25544E-12,1.08676E-14,49000000,400000,2.18,
POT72,2.88E+16,1.4883E+17,BE29127,22.13,249.8,3.26397E-13,7.72795E-15,246219.1585,5829.611537,4.84,BE29425,0.53,301.4,9.67995E-12,1.09868E-13,368000000,4200000,2.04,
POT73,2.6E+16,1.76363E+17,BE29128,22.71,248.6,3.51986E-13,8.29215E-15,257577.7676,6068.06655,5.03,BE29426,0.525,300.4,9.244E-12,6.3142E-14,353000000,2400000,2.06,
