unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
MDDo;1,Minor,Sedimentary,Chemical,Chert,,,Chert,,black chert 
MDDo;1,Minor,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,, 
MDDShk;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDDShk;1,Minor,Sedimentary,Chemical,Chert,,,Chert,, 
MDDShk;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDDShk;1,Incidental,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,, 
MDDShk;1,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
MDgm;7,Major,Igneous,Plutonic,Granitic,Tonalite,,Tonalite,, 
MDgm;7,Minor,Igneous,Plutonic,Dioritic,Quartz-diorite,,Quartz-diorite,, 
MDgm;7,Minor,Igneous,Plutonic,Gabbroic,Quartz-gabbro,,Quartz-gabbro,,quartz gabbro 
MDgm;7,Incidental,Metamorphic,Amphibolite,,,,Amphibolite,, 
MDgm;7,Incidental,Metamorphic,Metaigneous,Metaintrusive,Metaultramafic,Metapyroxenite,Metapyroxenite,, 
MDgm;7,Incidental,Metamorphic,Metaigneous,Serpentinite,,,Serpentinite,, 
MDgm;7,Incidental,Metamorphic,Schist,,,,Schist,,talc schist 
MDhf;2,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDhf;2,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDhf;2,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
MDif;3,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDif;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
MDif;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,, 
MDif;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,Metagraywacke,Metagraywacke,, 
MDif;3,Incidental,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDif-ms;3,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDif-ms;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
MDif-ms;3,Minor,Metamorphic,Schist,Mica-schist,Muscovite-schist,,Muscovite-schist,,muscovite-chlorite-albite-quartz schist 
MDif-ms;3,Incidental,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDif-ms;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,,includes meta-argillite 
MDjg;4,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,includes granitic gneiss and paragneiss 
MDjg;4,"Indeterminate, major",Metamorphic,Metasedimentary,Paragneiss,,,Paragneiss,, 
MDKm;5,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,,"Loose, white, cross-bedded, ""sugary"", lignitic sands  "
MDKm;5,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,,"dark gray, laminated silty clays "
MDKm;5,Incidental,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,,"white to orange-brown, iron-stained, subrounded quartzose gravels in western Anne Arundel County "
MDKma;5,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,,"Dark gray micaceous, glauconitic, argillaceous, fine-grained sand and silt; "
MDKma;5,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,,"Dark gray micaceous, glauconitic, argillaceous, fine-grained sand and silt; "
MDKmo;5,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,,"Dark gray to reddish-brown, micaceous, glauconitic, argillaceous, fine- to coarse-grained sand; "
MDKmo;5,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,,basal gravel in Prince Georges County 
MDKp;5,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
MDKp;5,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
MDKp;5,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
MDKp;5,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
MDlf;2,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDlmr;3,Major,Metamorphic,Metaigneous,Metavolcanic,Metarhyolite,,Metarhyolite,,"Purple, bluish-black, and red, dense, fine-grained metarhyolite with feldspar phenocrysts "
MDlmr;3,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,,"blue, purple, and green phyllitic slates "
MDlmr;3,Major,Metamorphic,Metaigneous,Metavolcanic,Metaandesite,,Metaandesite,,blue and purple amygdaloidal metaandesite 
MDMg;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDMg;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
MDMg;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDMg;1,Minor,Sedimentary,Clastic,Sandstone,Arenite,Calcarenite,Calcarenite,, 
MDMmc;1,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,"red, green, brown, and gray thin-bedded and cross-bedded sandstones "
MDMp;1,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,"Gray, white, tan, and brown, thin- to thick-bedded, cross-bedded sandstone "
MDMp;1,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
MDMp;1,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,,"interbedded gray and reddish-brown shale, mudstone, and siltstone "
MDOCAc;1,Incidental,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDOCAc;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
