,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1482,VAKp;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1483,VAks;0,Major,Metamorphic,Schist,Mica-schist,Muscovite-schist,,Muscovite-schist,,kyanite schist 
1484,VAlgn;0,Major,Metamorphic,Gneiss,,,,Gneiss,,granitic gneiss 
1485,VAls;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1486,VAls;0,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Calcareous, 
1487,VAm;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
1488,VAm;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1489,VAMbf;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1490,VAMbf;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1491,VAMbf;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1492,VAMbf;0,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1493,VAMbf;0,Incidental,Sedimentary,Coal,,,,Coal,, 
1494,VAMbf;0,Incidental,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,, 
1495,VAMccf;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1496,VAMccf;0,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1497,VAMDcw;0,Major,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,, 
1498,VApsg;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
1499,VApsg;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1500,VApsg;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Clay,,,Clay,, 
1501,VApsg;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1502,VApy;0,Major,Tectonite,Mylonite,Phyllonite,,,Phyllonite,, 
1503,VAQc;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
1504,VAQc;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1505,VAQc;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1506,VAQc;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay ,,
1507,VAQc;0,Incidental,Unconsolidated,Peat,,,,Peat ,,
1508,VAQcc;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1509,VAQcc;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1510,VAQcc;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay ,,
1511,VAQcc;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1512,VAQj;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1513,VAQj;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1514,VAQk;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1515,VAQk;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1516,VAQnb;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1517,VAQnb;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1518,VAQno;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1519,VAQoa;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1520,VAQoa;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1521,VAQoa;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1522,VAQoa;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay ,,
1523,VAQoa;0,Minor,Unconsolidated,Peat,,,,Peat ,,
1524,VAQsh;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1525,VAQsh;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1526,VAQsh;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1527,VAQsh;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay ,,
1528,VAQsh;0,Minor,Unconsolidated,Peat,,,,Peat ,,
1529,VAQt;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1530,VAQt;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1531,VAQt;0,Major,Unconsolidated,Peat,,,,Peat ,,
1532,VAQtl;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1533,VAQtl;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1534,VAQtlp;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1535,VAQtlp;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt ,,
1536,VAQtp;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1537,VAQtp;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1538,VAQts;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1539,VAQTu;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1540,VAQTu;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
1541,VAQTu;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1542,VAQTu;0,"Indeterminate, major",Unconsolidated,Fine-detrital,Clay,,,Clay,, 
1543,VAQTu;0,"Indeterminate, major",Unconsolidated,Peat,,,,Peat,, 
1544,VAQTu;0,"Indeterminate, major",Unconsolidated,,,,,Unconsolidated,Alluvial, 
1545,VAQTw;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
1546,VAQTw;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1547,VAQTw;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1548,VAQTw;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
1549,VAQwa;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
1550,VArbg;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,biotite gneiss 
1551,VAro;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1552,VAro;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1553,VAsb;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Beach,beach and dune sand 
1554,VAsch;0,Major,Metamorphic,Schist,,,,Schist,, 
1555,VASf;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1556,VAShrc;0,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,, 
1557,VAShrc;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
1558,VAShrc;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1559,VAShrc;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1560,VAShrc;0,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1561,VAShrc;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1562,VASkrt;0,Minor,Sedimentary,Clastic,Sandstone,Arenite,,Arenite,, 
