,Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag,long,lat,Unnamed: 0,Symbol,geometry,Station,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle,IA,Lat_bins
91,27,-078.71507480 39.75340459,Bedford_ManassasGap,,,,107.0,,-078.71507480,39.75340459,,,POINT (-78.7150748 39.75340459),,,,,,107.0,"(39.5, 40.0]"
92,30,-078.59785640 39.80018313,Bedford,22.0,28.0,SE,,,-078.59785640,39.80018313,,,POINT (-78.5978564 39.80018313),,,,,,,"(39.5, 40.0]"
93,30,-078.60708938 39.80443141,Bedford,199.0,45.0,NW,,,-078.60708938,39.80443141,,,POINT (-78.60708938 39.80443141),,,,,,,"(39.5, 40.0]"
94,30,-078.53488861 39.82080850,Bedford,205.0,10.0,NW,,,-078.53488861,39.8208085,,,POINT (-78.53488861 39.8208085),,,,,,,"(39.5, 40.0]"
95,30,-078.52685151 39.81766738,Bedford,0.0,50.0,E,,,-078.52685151,39.81766738,,,POINT (-78.52685151 39.81766738),,,,,,,"(39.5, 40.0]"
96,30,-078.54619031 39.80539153,Bedford,210.0,30.0,NW,,,-078.54619031,39.80539153,,,POINT (-78.54619031 39.80539153),,,,,,,"(39.5, 40.0]"
97,30,-078.54684513 39.80570501,Bedford,203.0,48.0,NW,,,-078.54684513,39.80570501,,,POINT (-78.54684513 39.80570501),,,,,,,"(39.5, 40.0]"
98,30,-078.54838879 39.80599448,Bedford,202.0,50.0,NW,,,-078.54838879,39.80599448,,,POINT (-78.54838879 39.80599448),,,,,,,"(39.5, 40.0]"
99,30,-078.53079085 39.80613477,Bedford,5.0,12.0,SE,,,-078.53079085,39.80613477,,,POINT (-78.53079085 39.80613477),,,,,,,"(39.5, 40.0]"
100,30,-078.53734496 39.79510224,Bedford,21.0,15.0,SE,,,-078.53734496,39.79510224,,,POINT (-78.53734496 39.79510224),,,,,,,"(39.5, 40.0]"
101,30,-078.56504801 39.78088017,Bedford,207.0,35.0,NW,,,-078.56504801,39.78088017,,,POINT (-78.56504801 39.78088017),,,,,,,"(39.5, 40.0]"
102,30,-078.56546947 39.77962136,Bedford,212.0,50.0,NW,,,-078.56546947,39.77962136,,,POINT (-78.56546947 39.77962136),,,,,,,"(39.5, 40.0]"
103,30,-078.54130278 39.75712505,Bedford,30.0,18.0,SE,,,-078.54130278,39.75712505,,,POINT (-78.54130278 39.75712505),,,,,,,"(39.5, 40.0]"
104,30,-078.57266928 39.76788535,Bedford,195.0,30.0,NW,,,-078.57266928,39.76788535,,,POINT (-78.57266928 39.76788535),,,,,,,"(39.5, 40.0]"
105,30,-078.57571771 39.76235892,Bedford,205.0,40.0,NW,,,-078.57571771,39.76235892,,,POINT (-78.57571771 39.76235892),,,,,,,"(39.5, 40.0]"
106,30,-078.56546947 39.77962136,Bedford_TusseyMountain_1,,,,118.0,,-078.56546947,39.77962136,,,POINT (-78.56546947 39.77962136),,,,,,118.0,"(39.5, 40.0]"
107,30,-078.56546947 39.77962136,Bedford_TusseyMountain_2,,,,132.0,,-078.56546947,39.77962136,,,POINT (-78.56546947 39.77962136),,,,,,132.0,"(39.5, 40.0]"
108,30,-078.56546947 39.77962136,Bedford_TusseyMountain_crosssection,,,,123.0,,-078.56546947,39.77962136,,,POINT (-78.56546947 39.77962136),,,,,,123.0,"(39.5, 40.0]"
109,30,-078.56546947 39.77962136,Bedford_EvittsMountain_crosssection,,,,83.0,,-078.56546947,39.77962136,,,POINT (-78.56546947 39.77962136),,,,,,83.0,"(39.5, 40.0]"
110,30,-078.56546947 39.77962136,Bedford_WillsMountain_crosssection,,,,136.0,,-078.56546947,39.77962136,,,POINT (-78.56546947 39.77962136),,,,,,136.0,"(39.5, 40.0]"
111,43,-077.75800945 40.70140105,mcalveysfort,35.0,56.0,SE,,,-077.75800945,40.70140105,,,POINT (-77.75800945 40.70140105),,,,,,,"(40.5, 41.0]"
112,43,-077.75831978 40.70304214,mcalveysfort,204.0,30.0,NW,,,-077.75831978,40.70304214,,,POINT (-77.75831978 40.70304214),,,,,,,"(40.5, 41.0]"
113,43,-077.75831978 40.70304214,mcalveysfort_RudyRidge_crosssection,,,,105.0,,-077.75831978,40.70304214,,,POINT (-77.75831978 40.70304214),,,,,,105.0,"(40.5, 41.0]"
114,32,-078.34226743 40.53525656,Frankstown,225.0,23.0,NW,,,-078.34226743,40.53525656,,,POINT (-78.34226743 40.53525656),,,,,,,"(40.5, 41.0]"
115,32,-078.29645433 40.60255939,Frankstown,192.0,30.0,NW,,,-078.29645433,40.60255939,,,POINT (-78.29645433 40.60255939),,,,,,,"(40.5, 41.0]"
116,36,-078.24077510 40.58084025,Tyrone,51.0,25.0,SE,,,-078.24077510,40.58084025,,,POINT (-78.2407751 40.58084025),,,,,,,"(40.5, 41.0]"
117,36,-078.24077510 40.58084025,Tyrone-Frankstown,,,,125.0,,-078.24077510,40.58084025,,,POINT (-78.2407751 40.58084025),,,,,,125.0,"(40.5, 41.0]"
118,41,-077.77980068 40.40350277,NewtonHamilton,228.0,64.0,NW,,,-077.77980068,40.40350277,,,POINT (-77.77980068 40.40350277),,,,,,,"(40.0, 40.5]"
119,44,-077.62170681 40.45634634,Mccoysville,20.0,48.0,SE,,,-077.62170681,40.45634634,,,POINT (-77.62170681 40.45634634),,,,,,,"(40.0, 40.5]"
120,44,-077.60612624 40.47471776,Mccoysville,18.0,37.0,SE,,,-077.60612624,40.47471776,,,POINT (-77.60612624 40.47471776),,,,,,,"(40.0, 40.5]"
121,44,-077.60612624 40.47471776,Mccoysville_ShadeMountain,,,,93.0,,-077.60612624,40.47471776,,,POINT (-77.60612624 40.47471776),,,,,,93.0,"(40.0, 40.5]"
122,44,-077.53126263 40.39636479,Mccoysville,80.0,52.0,SE,,,-077.53126263,40.39636479,,,POINT (-77.53126263 40.39636479),,,,,,,"(40.0, 40.5]"
123,44,-077.50909827 40.42670506,Loysville,57.0,50.0,NW,,,-077.50909827,40.42670506,,,POINT (-77.50909827 40.42670506),,,,,,,"(40.0, 40.5]"
124,44,-077.44020077 40.40707004,Loysville,52.0,35.0,SE,,,-077.44020077,40.40707004,,,POINT (-77.44020077 40.40707004),,,,,,,"(40.0, 40.5]"
125,44,-077.49763148 40.43860747,Loysville,230.0,45.0,NW,,,-077.49763148,40.43860747,,,POINT (-77.49763148 40.43860747),,,,,,,"(40.0, 40.5]"
